"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,5.79863,5.79507,-0.06564,3.80102,5.20435
90.00218786,5.70598,5.70234,0.083639,3.93174,5.10324
90.00656357,5.51569,5.5119,0.38383,4.18729,4.89648
90.01189395,5.27353,5.26955,0.752633,4.48472,4.63521
90.01532992,5.11131,5.10721,0.991998,4.66733,4.46126
90.01731748,5.01495,5.01079,1.13103,4.76942,4.35835
90.01815359,4.97442,4.97022,1.18952,4.81128,4.31506
90.0190698,4.92911,4.92489,1.2538,4.85715,4.26683
90.02014235,4.87608,4.87182,1.32904,4.90934,4.21037
90.02126642,4.81948,4.81518,1.4079,4.96404,4.15028
90.02274421,4.74507,4.74073,1.5117,5.03403,4.07129
90.02501466,4.62861,4.62419,1.67119,5.13863,3.948
90.02922113,4.40769,4.40314,1.96667,5.32335,3.71496
90.03763406,3.94659,3.94179,2.5531,5.65883,3.23176
90.04792232,3.34989,3.34481,3.25272,6.00975,2.61181
90.06093955,2.54776,2.54235,4.08691,6.36298,1.78614
90.07176225,1.84453,1.83889,4.71652,6.58095,1.06828
90.07643395,1.53147,1.52574,4.96667,6.65402,0.750273
90.079165,1.34598,1.34019,5.10613,6.69091,0.562273
90.08174483,1.16918,1.16335,5.23305,6.72184,0.383366
90.0843038,0.992378,0.986502,5.35434,6.74879,0.204713
90.08853495,0.697063,0.691117,5.54503,6.78522,-0.0931098
90.09699726,0.0963453,0.0902734,5.89103,6.82803,-0.696663
90.10210018,-0.271881,-0.278019,6.07741,6.83466,-1.06496
90.10541978,-0.513622,-0.519799,6.18982,6.83129,-1.30591
90.10637334,-0.583368,-0.589555,6.22054,6.82895,-1.37535
90.10737835,-0.657014,-0.663212,6.25292,6.82648,-1.44854
90.10846692,-0.736934,-0.743143,6.28638,6.82239,-1.52781
90.11022345,-0.866203,-0.872429,6.34037,6.81579,-1.65586
90.11307776,-1.07699,-1.08324,6.42311,6.8007,-1.86395
90.11653981,-1.33369,-1.33996,6.5168,6.77658,-2.11634
90.11853149,-1.48184,-1.48812,6.5674,6.75983,-2.26116
90.11972752,-1.57081,-1.57709,6.59616,6.74836,-2.34812
90.12100443,-1.66592,-1.6722,6.62687,6.73612,-2.44057
90.12292695,-1.80912,-1.8154,6.67056,6.7155,-2.57977
90.1263791,-2.06625,-2.07253,6.74342,6.67366,-2.82808
90.13328341,-2.57799,-2.58422,6.86776,6.57179,-3.31696
90.14709203,-3.57298,-3.57893,7.03221,6.29764,-4.24307
90.15760784,-4.28779,-4.29336,7.0833,6.02802,-4.8833
90.1622893,-4.59042,-4.59576,7.08568,5.8915,-5.14645
90.16498008,-4.75906,-4.76426,7.08144,5.80855,-5.29089
90.1675167,-4.91391,-4.91896,7.07373,5.72743,-5.42227
90.1700867,-5.06629,-5.07119,7.06227,5.64239,-5.55064
90.17188989,-5.17034,-5.17512,7.0516,5.58067,-5.63791
90.17281613,-5.2226,-5.22732,7.04612,5.54897,-5.68163
90.17345704,-5.25876,-5.26344,7.04147,5.52637,-5.71189
90.17493669,-5.34048,-5.34506,7.03075,5.47421,-5.78019
90.175868,-5.39103,-5.39554,7.02283,5.44048,-5.82191
90.1774437,-5.47502,-5.47943,7.00943,5.38341,-5.89251
90.18051492,-5.63335,-5.63757,6.9787,5.26866,-6.02438
90.18594788,-5.89664,-5.90052,6.91204,5.05639,-6.2425
90.19681378,-6.36198,-6.36523,6.7327,4.59774,-6.62193
90.20697413,-6.72574,-6.72843,6.511,4.12968,-6.90934
90.22098487,-7.11774,-7.11966,6.12354,3.42689,-7.20093
90.2377984,-7.4244,-7.42542,5.5409,2.50451,-7.39405
90.26762682,-7.54672,-7.54622,4.227,0.696449,-7.33471
90.28683088,-7.35115,-7.34973,3.21108,-0.560569,-7.03643
90.29585854,-7.18752,-7.18569,2.69171,-1.16986,-6.82855
90.29952063,-7.10841,-7.10641,2.47394,-1.41933,-6.73224
90.30095136,-7.07504,-7.07298,2.3878,-1.51707,-6.69231
90.30226235,-7.04447,-7.04236,2.30839,-1.60663,-6.65572
90.30488434,-6.97966,-6.97742,2.14819,-1.78576,-6.5791
90.31012831,-6.83946,-6.837,1.8226,-2.14319,-6.41601
90.32061626,-6.51805,-6.51515,1.15223,-2.84758,-6.05167
90.34159216,-5.72176,-5.71806,-0.251615,-4.14982,-5.18111
90.35319741,-5.19798,-5.19387,-1.0564,-4.77932,-4.62295
90.35870755,-4.92954,-4.92524,-1.44328,-5.05103,-4.33987
90.36066694,-4.83112,-4.82676,-1.58138,-5.14312,-4.23651
90.3624912,-4.73813,-4.73371,-1.70995,-5.22661,-4.13905
90.36613973,-4.5484,-4.54387,-1.9671,-5.38708,-3.94072
90.37343678,-4.15443,-4.14967,-2.47826,-5.6827,-3.53099
90.38249925,-3.63961,-3.6346,-3.10096,-6.00432,-2.99921
90.39301725,-3.00919,-3.00391,-3.79407,-6.31603,-2.3527
90.41025345,-1.90895,-1.90329,-4.80971,-6.68744,-1.2342
90.41607416,-1.5198,-1.51403,-5.11369,-6.77414,-0.841133
90.42169824,-1.1363,-1.13042,-5.38638,-6.8396,-0.454914
90.42600101,-0.838317,-0.832365,-5.58085,-6.87765,-0.155553
90.43087241,-0.496562,-0.490534,-5.78641,-6.90824,0.187016
90.44061522,0.199126,0.205285,-6.15239,-6.93026,0.881632
90.44444098,0.476408,0.482611,-6.27987,-6.92474,1.15733
90.44749714,0.699378,0.705612,-6.37523,-6.91465,1.37851
90.44842497,0.767364,0.773607,-6.4028,-6.91038,1.44566
