"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-4.27348,-4.27348,-2.87243,-4.12985,-6.69564
90.00095296,-4.34141,-4.34141,-2.94549,-4.19819,-6.67307
90.00285887,-4.47617,-4.47617,-3.09161,-4.33381,-6.62684
90.00667069,-4.73988,-4.73988,-3.38125,-4.59948,-6.52922
90.01429434,-5.23872,-5.23872,-3.94675,-5.10277,-6.31314
90.01721352,-5.41867,-5.41867,-4.15755,-5.28453,-6.22311
90.01890661,-5.51999,-5.51999,-4.27811,-5.38693,-6.16906
90.02050482,-5.6135,-5.6135,-4.39059,-5.48147,-6.11622
90.02211768,-5.70574,-5.70574,-4.50271,-5.57478,-6.06291
90.02384431,-5.80216,-5.80216,-4.62105,-5.67235,-6.00389
90.02729758,-5.98797,-5.98797,-4.85195,-5.86048,-5.88182
90.03012317,-6.13318,-6.13318,-5.03469,-6.0076,-5.77801
90.03247949,-6.24968,-6.24968,-5.18245,-6.12569,-5.68821
90.0335651,-6.3017,-6.3017,-5.24876,-6.17845,-5.64684
90.03422586,-6.33336,-6.33336,-5.28912,-6.21056,-5.62086
90.03576813,-6.40541,-6.40541,-5.38122,-6.28366,-5.5602
90.03672538,-6.44867,-6.44867,-5.43739,-6.32759,-5.52156
90.03845001,-6.52661,-6.52661,-5.53671,-6.40672,-5.45195
90.04189926,-6.67497,-6.67497,-5.7283,-6.55751,-5.30833
90.04879777,-6.94664,-6.94664,-6.08456,-6.8343,-5.00666
90.05646218,-7.20983,-7.20983,-6.43999,-7.1036,-4.64974
90.06457258,-7.44457,-7.44457,-6.77137,-7.34534,-4.24826
90.07693569,-7.71718,-7.71718,-7.1905,-7.6296,-3.59249
90.09609455,-7.94096,-7.94096,-7.63956,-7.87353,-2.48344
90.11662057,-7.9216,-7.9216,-7.85718,-7.87776,-1.18869
90.13765925,-7.63688,-7.63688,-7.80755,-7.61817,0.228561
90.15019794,-7.34507,-7.34507,-7.65096,-7.34132,1.1054
90.15593117,-7.18227,-7.18227,-7.54857,-7.18526,1.51167
90.15798189,-7.11966,-7.11966,-7.50734,-7.12504,1.65751
90.15989978,-7.05908,-7.05908,-7.46662,-7.06668,1.7939
90.16346297,-6.94141,-6.94141,-7.38554,-6.95308,2.04729
90.17058933,-6.68666,-6.68666,-7.20259,-6.70624,2.55071
