"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-7.73394,-7.73394,-7.14078,-7.5907,-3.21882
90.00156181,-7.74762,-7.74762,-7.17758,-7.60787,-3.12805
90.00468544,-7.77127,-7.77127,-7.24748,-7.63851,-2.94478
90.0109327,-7.80084,-7.80084,-7.36946,-7.68213,-2.57031
90.02107729,-7.79772,-7.79772,-7.51579,-7.7019,-1.94049
90.04136647,-7.60698,-7.60698,-7.61932,-7.55679,-0.611635
90.05746271,-7.28757,-7.28757,-7.52697,-7.27299,0.49648
90.06637375,-7.04914,-7.04914,-7.41123,-7.05393,1.12558
90.07125914,-6.9004,-6.9004,-7.32868,-6.91568,1.47365
90.07445315,-6.79641,-6.79641,-7.26753,-6.81848,1.70199
90.07697767,-6.71054,-6.71054,-7.21526,-6.73796,1.88247
90.08202672,-6.52934,-6.52934,-7.10048,-6.56735,2.24261
90.0921248,-6.13029,-6.13029,-6.83106,-6.18916,2.95285
90.11232098,-5.19654,-5.19654,-6.14202,-5.29629,4.27227
90.12527771,-4.50881,-4.50881,-5.60022,-4.63459,5.00879
90.13155534,-4.15218,-4.15218,-5.31099,-4.2906,5.32865
90.13726288,-3.81562,-3.81562,-5.03373,-3.96559,5.59654
90.14309468,-3.46036,-3.46036,-4.73702,-3.62216,5.84755
90.15051637,-2.99269,-2.99269,-4.34078,-3.16958,6.1345
90.16396695,-2.10514,-2.10514,-3.57352,-2.3093,6.56471
90.17703848,-1.19898,-1.19898,-2.77244,-1.42918,6.87438
90.1979569,0.321147,0.321147,-1.39445,0.0512707,7.15419
90.21040553,1.25704,1.25704,-0.525767,0.96621,7.19731
90.21596127,1.67987,1.67987,-0.12774,1.38093,7.18735
90.21779602,1.82004,1.82004,0.00499199,1.51871,7.17964
90.21875067,1.89298,1.89298,0.0742873,1.5904,7.17563
90.21960288,1.95808,1.95808,0.136272,1.65439,7.17092
90.22061577,2.03547,2.03547,0.210091,1.73062,7.16532
90.22173842,2.12123,2.12123,0.29209,1.81511,7.15778
90.22297307,2.21544,2.21544,0.382484,1.90803,7.14949
90.22486637,2.3599,2.3599,0.521519,2.05053,7.13453
90.22830565,2.62138,2.62138,0.77529,2.30913,7.10226
90.23415313,3.06201,3.06201,1.2098,2.74652,7.03251
90.2370507,3.27799,3.27799,1.42632,2.96171,6.99106
90.24072476,3.54887,3.54887,1.70173,3.23241,6.93201
90.2415837,3.61152,3.61152,1.76612,3.29518,6.91694
90.24257361,3.68372,3.68372,1.84042,3.36753,6.89957
90.24404148,3.78996,3.78996,1.9506,3.47415,6.87254
90.24637116,3.95691,3.95691,2.12547,3.64202,6.82732
90.25094758,4.27801,4.27801,2.46799,3.9661,6.73031
90.26010041,4.8855,4.8855,3.14366,4.5841,6.50457
90.26209033,5.00972,5.00972,3.2881,4.71154,6.44895
90.26607017,5.25092,5.25092,3.57397,4.95981,6.33312
90.2684647,5.39064,5.39064,3.74362,5.10423,6.26015
90.26996506,5.47586,5.47586,3.84872,5.19253,6.21294
90.27034163,5.49686,5.49686,3.8751,5.2143,6.20109
90.27101975,5.53467,5.53467,3.92213,5.25351,6.17922
90.27177561,5.57598,5.57598,3.97455,5.29639,6.15485
90.27269294,5.62612,5.62612,4.03728,5.34842,6.12439
90.27445588,5.72007,5.72007,4.15785,5.44599,6.06585
90.27759165,5.88126,5.88126,4.36754,5.61361,5.95751
90.28377643,6.17773,6.17773,4.76345,5.92275,5.73086
90.2881458,6.37044,6.37044,5.02724,6.12444,5.56053
90.29009009,6.4518,6.4518,5.14006,6.20982,5.48206
90.29160486,6.51335,6.51335,5.22592,6.2745,5.41936
90.29299773,6.56853,6.56853,5.30327,6.33258,5.3617
90.29446193,6.62509,6.62509,5.38293,6.39218,5.29974
90.29739034,6.73379,6.73379,5.53733,6.50699,5.17316
90.30324716,6.93362,6.93362,5.82717,6.71915,4.9096
90.31320886,7.22035,7.22035,6.26475,7.02716,4.43082
90.32399909,7.45632,7.45632,6.66281,7.28661,3.87135
90.33792914,7.64833,7.64833,7.06341,7.50948,3.09152
90.35446745,7.71563,7.71563,7.3771,7.61394,2.09097
90.38576962,7.39286,7.39286,7.50937,7.36111,0.0255489
90.40156105,7.01653,7.01653,7.3543,7.0193,-1.08118
90.40880323,6.79807,6.79807,7.23494,6.81642,-1.598
90.4114003,6.71291,6.71291,7.1849,6.73679,-1.78418
90.41382158,6.63037,6.63037,7.13489,6.65938,-1.95776
90.41866415,6.45646,6.45646,7.02535,6.49568,-2.30405
