"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-1.92272,-1.92272,-0.580657,-1.67198,-7.09776
90.00079011,-1.98468,-1.98468,-0.64217,-1.7336,-7.08819
90.00169309,-2.0555,-2.0555,-0.712643,-1.80403,-7.0766
90.00277875,-2.14065,-2.14065,-0.797373,-1.8888,-7.06266
90.00376325,-2.21786,-2.21786,-0.874474,-1.96568,-7.04894
90.00485689,-2.30353,-2.30353,-0.960122,-2.05107,-7.03371
90.00622785,-2.41094,-2.41094,-1.06778,-2.15813,-7.01335
90.00853917,-2.59164,-2.59164,-1.24978,-2.33861,-6.97679
90.0131618,-2.95119,-2.95119,-1.61533,-2.69856,-6.89527
90.01539475,-3.12375,-3.12375,-1.7927,-2.87174,-6.85192
90.01813014,-3.33384,-3.33384,-2.00997,-3.08297,-6.79531
90.01994066,-3.47197,-3.47197,-2.15402,-3.22209,-6.75575
90.02294027,-3.69884,-3.69884,-2.39266,-3.45098,-6.68657
90.02629862,-3.94931,-3.94931,-2.65931,-3.70429,-6.60379
90.03301533,-4.43591,-4.43591,-3.18825,-4.19812,-6.42173
90.04644875,-5.32623,-5.32623,-4.20549,-5.10648,-5.99411
90.0484279,-5.44733,-5.44733,-4.35019,-5.23059,-5.92363
90.04894403,-5.47823,-5.47823,-4.38751,-5.26226,-5.90525
90.04995645,-5.53883,-5.53883,-4.4607,-5.3244,-5.86829
90.05075631,-5.58564,-5.58564,-4.51782,-5.3724,-5.83909
90.05164356,-5.63756,-5.63756,-4.58117,-5.42564,-5.80599
90.05261578,-5.69301,-5.69301,-4.64955,-5.48252,-5.76972
90.0535364,-5.74552,-5.74552,-4.7143,-5.53638,-5.73455
90.05487484,-5.82009,-5.82009,-4.80706,-5.61289,-5.68341
90.05627155,-5.89639,-5.89639,-4.90256,-5.6912,-5.62895
90.05906498,-6.04442,-6.04442,-5.08929,-5.84324,-5.51753
90.06119572,-6.1533,-6.1533,-5.22768,-5.95518,-5.4298
90.06239272,-6.21266,-6.21266,-5.30349,-6.01627,-5.38052
90.06303004,-6.24427,-6.24427,-5.34385,-6.0488,-5.3536
90.06421045,-6.30149,-6.30149,-5.41711,-6.10773,-5.30373
90.06607501,-6.38977,-6.38977,-5.53038,-6.19875,-5.22356
90.06802041,-6.47918,-6.47918,-5.64546,-6.29104,-5.13842
90.07191121,-6.64982,-6.64982,-5.86646,-6.46758,-4.96364
90.07969282,-6.9589,-6.9589,-6.27358,-6.78901,-4.59665
90.09134996,-7.34302,-7.34302,-6.80066,-7.19311,-4.00577
90.10274558,-7.62852,-7.62852,-7.22313,-7.49982,-3.38373
90.11707324,-7.86368,-7.86368,-7.6276,-7.76381,-2.54551
90.13993104,-7.96257,-7.96257,-7.98869,-7.91264,-1.09985
90.16352425,-7.72461,-7.72461,-8.00755,-7.72937,0.500545
90.17425783,-7.50603,-7.50603,-7.90034,-7.53627,1.25535
90.18239187,-7.29643,-7.29643,-7.77249,-7.34601,1.83227
90.18498411,-7.22182,-7.22182,-7.72342,-7.27755,2.01636
90.18733365,-7.15103,-7.15103,-7.67556,-7.21231,2.18321
90.19203271,-7.00061,-7.00061,-7.57031,-7.07294,2.51516
90.20143084,-6.66552,-6.66552,-7.32275,-6.75958,3.16703
90.21643486,-6.04091,-6.04091,-6.82956,-6.16811,4.14571
90.22618225,-5.57891,-5.57891,-6.4472,-5.72634,4.72343
90.23127282,-5.32077,-5.32077,-6.2288,-5.47829,5.00238
90.23397476,-5.17923,-5.17923,-6.10781,-5.34196,5.1433
90.23643864,-5.0475,-5.0475,-5.99451,-5.21491,5.26723
90.23929617,-4.89164,-4.89164,-5.85961,-5.06439,5.40548
90.24231319,-4.72357,-4.72357,-5.71321,-4.90188,5.54516
90.24834724,-4.37697,-4.37697,-5.40849,-4.56619,5.80584
90.25738477,-3.83317,-3.83317,-4.92369,-4.03825,6.15134
90.27002067,-3.02724,-3.02724,-4.19259,-3.25356,6.54698
