"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-7.7757,-7.7757,-7.1775,-7.51617,-2.02312
90.0014152,-7.78103,-7.78103,-7.20672,-7.52785,-1.9335
90.0042456,-7.78869,-7.78869,-7.26216,-7.54824,-1.75312
90.00990641,-7.78977,-7.78977,-7.35862,-7.57486,-1.38704
90.02122802,-7.73405,-7.73405,-7.49258,-7.57056,-0.635001
90.04387123,-7.39983,-7.39983,-7.52982,-7.33932,0.928864
90.05105283,-7.2332,-7.23319,-7.47836,-7.20525,1.43743
90.05369049,-7.16483,-7.16483,-7.45192,-7.14882,1.6253
90.05564292,-7.11181,-7.11181,-7.42979,-7.10462,1.76436
90.05754067,-7.05834,-7.05833,-7.40621,-7.0597,1.89953
90.06133618,-6.94575,-6.94574,-7.35301,-6.96418,2.16947
90.06892718,-6.69854,-6.69853,-7.22286,-6.75091,2.70468
90.08410919,-6.12028,-6.12028,-6.871,-6.23971,3.73177
90.0958682,-5.59949,-5.59949,-6.51777,-5.77012,4.4638
90.10573045,-5.11662,-5.11661,-6.16966,-5.32976,5.01629
90.10996971,-4.89663,-4.89662,-6.00592,-5.12793,5.23439
90.11391075,-4.68573,-4.68573,-5.84635,-4.93386,5.42595
90.11853089,-4.43099,-4.43098,-5.65054,-4.69876,5.63676
90.12392339,-4.12381,-4.1238,-5.41043,-4.41438,5.86448
90.13470839,-3.47971,-3.4797,-4.89462,-3.81531,6.26286
90.14517355,-2.81956,-2.81955,-4.35122,-3.19793,6.57856
90.16204977,-1.69164,-1.69163,-3.39449,-2.13634,6.94476
90.18532558,-0.0337961,-0.0337873,-1.93558,-0.562647,7.16925
90.20101814,1.13451,1.13452,-0.873991,0.556135,7.14225
90.20789254,1.65508,1.65508,-0.391555,1.05819,7.08618
90.20992097,1.80944,1.80945,-0.247342,1.20753,7.06388
90.21111971,1.90066,1.90067,-0.161757,1.29604,7.0507
90.21226848,1.98808,1.98809,-0.0795055,1.38087,7.03636
90.21332325,2.06835,2.06836,-0.00379107,1.45895,7.02319
90.21420948,2.13579,2.1358,0.0599637,1.52456,7.01115
90.21519163,2.21053,2.21054,0.130764,1.59726,6.9978
90.21623022,2.28938,2.28939,0.205795,1.67429,6.98256
90.21733636,2.37336,2.37337,0.285883,1.75633,6.96633
90.21856289,2.46648,2.46649,0.374899,1.84729,6.94661
90.22045287,2.60951,2.60952,0.512478,1.98746,6.91622
90.22388019,2.86765,2.86766,0.763161,2.24146,6.85518
90.22913658,3.25919,3.2592,1.15021,2.62929,6.74968
90.23191884,3.46385,3.46386,1.35617,2.83331,6.68806
90.23539348,3.71628,3.71629,1.61414,3.08634,6.60557
90.23732,3.85453,3.85454,1.75746,3.2256,6.55721
90.23864603,3.94887,3.94888,1.85611,3.32092,6.52221
90.24059432,4.08616,4.08617,2.00104,3.46009,6.47079
90.24417833,4.33414,4.33414,2.26733,3.71293,6.37016
90.25134636,4.80873,4.80874,2.79588,4.20282,6.15046
90.25679709,5.14748,5.14749,3.19189,4.55824,5.96727
90.25970261,5.31933,5.31933,3.40019,4.74077,5.86402
90.26122895,5.407,5.40701,3.50834,4.83452,5.80776
90.26263461,5.4861,5.48611,3.60793,4.91945,5.75595
90.26411738,5.56782,5.56783,3.71157,5.00748,5.69952
90.26511649,5.62151,5.62152,3.7814,5.06548,5.66149
90.26608296,5.67345,5.67346,3.84822,5.12158,5.62377
90.26648827,5.69477,5.69478,3.87625,5.14464,5.60795
90.26703449,5.7235,5.7235,3.91368,5.17572,5.58664
90.26792236,5.76928,5.76928,3.97453,5.22528,5.55128
90.268773,5.81314,5.81314,4.03208,5.27276,5.51741
90.27025347,5.88766,5.88767,4.13224,5.35352,5.45744
90.2732144,6.03183,6.03184,4.32851,5.51,5.33471
90.2783118,6.26512,6.26513,4.65425,5.76419,5.11491
90.28225501,6.4329,6.4329,4.89447,5.948,4.93763
90.28457129,6.52636,6.52636,5.03038,6.05086,4.8306
90.28655327,6.60337,6.60337,5.14343,6.13591,4.73734
90.28848343,6.67576,6.67576,5.25052,6.21616,4.64506
90.28982623,6.72462,6.72463,5.3233,6.27049,4.58002
90.29251182,6.81866,6.81866,5.46472,6.37552,4.44792
90.29788302,6.9921,6.9921,5.73161,6.57109,4.17579
90.30862542,7.28105,7.28105,6.20485,6.90509,3.60148
90.31870656,7.48281,7.48281,6.57815,7.15004,3.02831
90.33380188,7.66178,7.66178,7.01318,7.39519,2.11466
90.34807123,7.69834,7.69834,7.29066,7.49558,1.19716
90.37660994,7.40581,7.40581,7.47028,7.33189,-0.752404
90.38591467,7.208,7.208,7.42269,7.17613,-1.41288
90.38946937,7.11951,7.11951,7.39099,7.10368,-1.66738
90.39098108,7.07909,7.07909,7.37457,7.07006,-1.77561
90.39263087,7.03498,7.03497,7.35664,7.03337,-1.89377
90.39593045,6.94106,6.94106,7.31471,6.95427,-2.13011
90.40252961,6.73622,6.73622,7.21259,6.77891,-2.5996
90.41572792,6.26129,6.26128,6.93749,6.36235,-3.51072
90.42792253,5.74889,5.74889,6.60235,5.90319,-4.2967
90.43793603,5.27822,5.27821,6.27142,5.47579,-4.8835
90.44215854,5.06673,5.06672,6.11722,5.28244,-5.11227
90.44546595,4.89591,4.8959,5.99054,5.12578,-5.28285
90.44810741,4.75632,4.75631,5.88574,4.99748,-5.41352
90.45082371,4.60992,4.60991,5.77467,4.86266,-5.54276
90.45625629,4.30872,4.30871,5.54274,4.58454,-5.7861
90.46712146,3.67467,3.67466,5.0414,3.99612,-6.21458
90.47756884,3.0279,3.02789,4.51461,3.39239,-6.55554
90.49259292,2.04131,2.0413,3.68667,2.46568,-6.92725
90.51583125,0.408654,0.408645,2.2647,0.919204,-7.23477
90.53759889,-1.20505,-1.20506,0.803228,-0.626415,-7.23824
90.54561632,-1.81316,-1.81317,0.23712,-1.21487,-7.17168
90.54854402,-2.03625,-2.03625,0.027068,-1.43177,-7.13844
90.54974205,-2.12753,-2.12754,-0.0593534,-1.52083,-7.12326
90.55042197,-2.17934,-2.17935,-0.108512,-1.57137,-7.11464
90.55149259,-2.26092,-2.26093,-0.186072,-1.65096,-7.0999
90.55263718,-2.34799,-2.348,-0.269191,-1.7362,-7.08413
90.55398464,-2.45048,-2.45049,-0.367302,-1.83655,-7.06428
90.55604925,-2.60709,-2.6071,-0.518148,-1.9903,-7.032
90.559937,-2.90042,-2.90043,-0.803776,-2.27956,-6.96513
90.56458826,-3.24763,-3.24764,-1.14787,-2.62421,-6.8748
90.56725892,-3.44475,-3.44476,-1.34646,-2.82104,-6.8179
90.57056395,-3.68588,-3.68589,-1.59297,-3.06307,-6.74247
90.57244996,-3.82191,-3.82192,-1.73397,-3.20025,-6.69696
90.5737268,-3.91326,-3.91326,-1.82942,-3.29235,-6.6646
90.57544685,-4.03527,-4.03528,-1.958,-3.41643,-6.621
90.57847101,-4.24662,-4.24663,-2.18408,-3.63188,-6.53989
90.58451932,-4.65504,-4.65504,-2.63403,-4.05244,-6.36444
90.58942754,-4.97035,-4.97036,-2.99553,-4.38152,-6.20935
90.59352642,-5.221,-5.221,-3.29367,-4.64638,-6.07128
90.59536034,-5.32911,-5.32912,-3.42545,-4.76165,-6.00656
90.59642877,-5.39046,-5.39047,-3.50222,-4.82744,-5.96886
90.5974441,-5.44876,-5.44877,-3.57434,-4.88997,-5.93184
90.59877552,-5.52338,-5.52339,-3.66892,-4.97034,-5.88329
90.60087827,-5.63837,-5.63838,-3.81656,-5.09457,-5.80432
90.60136212,-5.66415,-5.66415,-3.85019,-5.12247,-5.78615
90.60237919,-5.71833,-5.71834,-3.92086,-5.18113,-5.74696
