"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-7.6839,-7.6839,-7.122,-7.636,-4.03788
90.00169114,-7.70969,-7.70969,-7.16863,-7.6631,-3.94807
90.00507342,-7.75678,-7.75678,-7.25739,-7.71283,-3.76616
90.01183797,-7.82959,-7.82959,-7.41348,-7.79104,-3.39172
90.02536708,-7.88838,-7.88838,-7.638,-7.86097,-2.60221
90.05242529,-7.67189,-7.67189,-7.74528,-7.66682,-0.886876
90.07247206,-7.23846,-7.23846,-7.54184,-7.24886,0.477868
90.08289975,-6.92534,-6.92534,-7.3442,-6.94311,1.21079
90.088826,-6.7218,-6.7218,-7.20479,-6.74345,1.63143
90.09085481,-6.64795,-6.64795,-7.15264,-6.67088,1.77583
90.09271698,-6.57835,-6.57835,-7.10283,-6.60243,1.90838
90.09644132,-6.43407,-6.43407,-6.99772,-6.46033,2.17302
90.10154612,-6.22551,-6.22551,-6.84201,-6.25456,2.53372
90.10765949,-5.95977,-5.95977,-6.63817,-5.99188,2.96039
90.11290053,-5.71847,-5.71847,-6.44871,-5.75301,3.31957
90.11928266,-5.40845,-5.40845,-6.2002,-5.44577,3.74541
90.13204691,-4.73843,-4.73843,-5.64755,-4.7811,4.54001
90.14040471,-4.26547,-4.26547,-5.24719,-4.31172,5.00796
90.1443704,-4.03198,-4.03198,-5.04693,-4.08001,5.21379
90.14801727,-3.81236,-3.81236,-4.85716,-3.86209,5.3933
90.15274243,-3.52116,-3.52116,-4.60359,-3.5732,5.612
90.15718133,-3.24103,-3.24103,-4.35772,-3.29536,5.80349
90.16605915,-2.66299,-2.66299,-3.84493,-2.72221,6.14742
90.17530417,-2.03772,-2.03772,-3.28286,-2.10244,6.45167
90.19172193,-0.877212,-0.877212,-2.2221,-0.952376,6.86033
90.21140397,0.58066,0.58066,-0.861305,0.492498,7.13402
90.22280528,1.44948,1.44948,-0.0350842,1.3548,7.1869
90.22791322,1.84241,1.84241,0.342927,1.74533,7.18585
90.22925315,1.94574,1.94574,0.442829,1.84816,7.18277
90.23002128,2.00497,2.00497,0.500269,1.9071,7.181
90.23080662,2.06554,2.06554,0.558994,1.96736,7.17819
90.23237729,2.18666,2.18666,0.676781,2.08789,7.17257
90.23551863,2.42847,2.42847,0.913284,2.3288,7.15644
90.24106028,2.85253,2.85253,1.33307,2.75192,7.1145
90.24381581,3.06176,3.06176,1.54283,2.961,7.08729
90.24730211,3.32434,3.32434,1.80895,3.22371,7.04687
90.24816091,3.38849,3.38849,1.8745,3.28796,7.03567
90.24911414,3.4597,3.4597,1.94734,3.35927,7.02324
90.25047482,3.56074,3.56074,2.05131,3.46052,7.00433
90.25260111,3.71746,3.71746,2.21378,3.61767,6.97278
90.25667065,4.01279,4.01279,2.52394,3.91417,6.90567
90.26480973,4.58013,4.58013,3.13727,4.48496,6.74547
90.27105801,4.98996,4.98996,3.59792,4.89815,6.59941
90.27628596,5.31216,5.31216,3.97347,5.22338,6.46214
90.27840454,5.43689,5.43689,4.12264,5.3494,6.40265
90.28045507,5.55419,5.55419,4.26503,5.468,6.34299
90.28231235,5.65751,5.65751,4.39212,5.57253,6.2872
90.28404818,5.75157,5.75157,4.50916,5.66776,6.23357
90.28751986,5.93264,5.93264,4.7376,5.85123,6.12204
90.2917216,6.13954,6.13954,5.00289,6.06113,5.97956
90.29344942,6.22056,6.22056,5.10805,6.1434,5.91825
90.29407863,6.24932,6.24932,5.14562,6.17263,5.89593
90.29489287,6.28655,6.28655,5.19423,6.21044,5.86632
90.29526144,6.3034,6.3034,5.21587,6.22756,5.85292
90.29587914,6.33093,6.33093,5.25214,6.25554,5.83046
90.29665086,6.36533,6.36533,5.29661,6.2905,5.8018
90.29752445,6.40306,6.40306,5.34695,6.32887,5.76937
90.29910351,6.47128,6.47128,5.43587,6.39822,5.7096
90.30139703,6.56649,6.56649,5.56149,6.49509,5.62085
90.30389303,6.66591,6.66591,5.69358,6.59631,5.52167
90.30671143,6.77294,6.77294,5.83709,6.70537,5.40647
90.31234822,6.97052,6.97052,6.10677,6.90705,5.1661
90.32335846,7.29389,7.29389,6.56934,7.2387,4.65997
90.33446208,7.53732,7.53732,6.95213,7.49088,4.10316
90.35112203,7.7502,7.7502,7.373,7.71757,3.18857
90.37104354,7.77215,7.77215,7.64057,7.75658,1.98607
90.40485758,7.26851,7.26851,7.5371,7.28027,-0.258663
90.419348,6.85413,6.85413,7.2857,6.87622,-1.27795
90.42731168,6.57837,6.57837,7.09681,6.60558,-1.84548
90.43005014,6.47591,6.47591,7.02374,6.50477,-2.04098
90.43257036,6.37829,6.37829,6.95293,6.40862,-2.22091
90.43698515,6.19985,6.19985,6.82084,6.2326,-2.53443
90.44151706,6.00703,6.00703,6.6748,6.0421,-2.85333
90.44782808,5.72275,5.72275,6.45421,5.76083,-3.28989
90.45463789,5.39611,5.39611,6.19434,5.43721,-3.74731
90.4682575,4.68492,4.68492,5.61018,4.73188,-4.59642
90.47407328,4.35862,4.35862,5.33539,4.40811,-4.92684
90.47722961,4.17611,4.17611,5.18012,4.22701,-5.09684
90.48024312,3.99844,3.99844,5.02798,4.05073,-5.25253
90.48263493,3.85512,3.85512,4.90459,3.90854,-5.37147
90.48518153,3.70034,3.70034,4.77069,3.755,-5.49364
90.49027472,3.38426,3.38426,4.49532,3.44153,-5.72461
90.4966743,2.97535,2.97535,4.13554,3.03609,-5.99032
90.50947345,2.12174,2.12174,3.37316,2.19001,-6.44296
90.52112898,1.30711,1.30711,2.63321,1.38277,-6.76592
90.54012831,-0.0821936,-0.0821936,1.34743,0.00605266,-7.11507
90.55327651,-1.079,-1.079,0.407794,-0.982241,-7.23055
90.55972515,-1.57565,-1.57565,-0.0661149,-1.47522,-7.25007
90.56310956,-1.83777,-1.83777,-0.317877,-1.73562,-7.25066
90.56410465,-1.91484,-1.91484,-0.392275,-1.81218,-7.24931
90.56507008,-1.98961,-1.98961,-0.464603,-1.88663,-7.24799
90.56594608,-2.05753,-2.05753,-0.530352,-1.95419,-7.2457
90.56754853,-2.18177,-2.18177,-0.650908,-2.07776,-7.24149
90.57023043,-2.38945,-2.38945,-0.853448,-2.28458,-7.23056
90.57559424,-2.80285,-2.80285,-1.26105,-2.69678,-7.19664
90.57862101,-3.03448,-3.03448,-1.49234,-2.9281,-7.17046
90.58192642,-3.28556,-3.28556,-1.74578,-3.17912,-7.13613
90.58272595,-3.34586,-3.34586,-1.80708,-3.23946,-7.12672
90.58366141,-3.41641,-3.41641,-1.87894,-3.31007,-7.11572
90.5862237,-3.60816,-3.60816,-2.07574,-3.50212,-7.08261
90.58851122,-3.77763,-3.77763,-2.25144,-3.67201,-7.05008
90.59308626,-4.11066,-4.11066,-2.60181,-4.00631,-6.97671
90.60223635,-4.74571,-4.74571,-3.29267,-4.6452,-6.79742
90.60910992,-5.18913,-5.18913,-3.79751,-5.09225,-6.63478
90.61257256,-5.39992,-5.39992,-4.04577,-5.30502,-6.54392
90.61435938,-5.50509,-5.50509,-4.17197,-5.41127,-6.49473
90.61605446,-5.60251,-5.60251,-4.2903,-5.50973,-6.44663
90.61798551,-5.71067,-5.71067,-4.42326,-5.61912,-6.39015
90.62014611,-5.82818,-5.82818,-4.5695,-5.73806,-6.32486
90.6244673,-6.05244,-6.05244,-4.85299,-5.96529,-6.18772
90.6277546,-6.21367,-6.21367,-5.05984,-6.12882,-6.07762
90.62954776,-6.29764,-6.29764,-5.16924,-6.21407,-6.01509
90.63049559,-6.34202,-6.34202,-5.2257,-6.25912,-5.98204
90.6313732,-6.38165,-6.38165,-5.27797,-6.29939,-5.95052
90.63236655,-6.42652,-6.42652,-5.3356,-6.34496,-5.91485
90.63335847,-6.4703,-6.4703,-5.39315,-6.38945,-5.87818
90.63529523,-6.5538,-6.5538,-5.50246,-6.47432,-5.80657
90.63731523,-6.63807,-6.63807,-5.61334,-6.56002,-5.72969
90.63951898,-6.72676,-6.72676,-5.73075,-6.65027,-5.64381
90.64392648,-6.89406,-6.89406,-5.95479,-6.82072,-5.46586
90.65274148,-7.1888,-7.1888,-6.36146,-7.12193,-5.08605
90.66312186,-7.46856,-7.46856,-6.77182,-7.40968,-4.5998
90.67716621,-7.73312,-7.73312,-7.21231,-7.68572,-3.8797
90.69436347,-7.88279,-7.88279,-7.57615,-7.85026,-2.91039
90.72027947,-7.76178,-7.76178,-7.77149,-7.75217,-1.29871
90.74537049,-7.27128,-7.27128,-7.57445,-7.28257,0.395033
90.75745509,-6.9103,-6.9103,-7.349,-6.9307,1.24457
90.76453614,-6.66295,-6.66295,-7.17896,-6.68827,1.74767
90.76692967,-6.57351,-6.57351,-7.11527,-6.60041,1.91809
90.76913103,-6.48874,-6.48874,-7.054,-6.51705,2.07483
90.77353376,-6.31218,-6.31218,-6.92387,-6.34316,2.38712
90.77832248,-6.10974,-6.10974,-6.77105,-6.14344,2.72405
90.78301716,-5.90101,-5.90101,-6.61006,-5.9372,3.05033
90.78820775,-5.65875,-5.65875,-6.41946,-5.69753,3.40466
90.79858893,-5.13984,-5.13984,-6.0002,-5.18348,4.08319
90.80667197,-4.70547,-4.70547,-5.63989,-4.75279,4.57534
90.81344801,-4.32196,-4.32196,-5.31597,-4.37242,4.95713
90.81625682,-4.15796,-4.15796,-5.176,-4.20976,5.10632
90.8189451,-3.99836,-3.99836,-5.03901,-4.05147,5.24377
90.82116104,-3.86491,-3.86491,-4.92391,-3.91912,5.35312
90.82355281,-3.71899,-3.71899,-4.7975,-3.77443,5.46718
90.82833634,-3.42153,-3.42153,-4.53814,-3.47952,5.68334
90.83561224,-2.95539,-2.95539,-4.12752,-3.0175,5.98259
90.84684311,-2.20613,-2.20613,-3.45801,-2.27509,6.37704
90.8592719,-1.33946,-1.33946,-2.6709,-1.41653,6.72069
90.87628682,-0.100467,-0.100467,-1.52529,-0.189147,7.037
90.89021531,0.949404,0.949404,-0.537374,0.851301,7.16615
90.8974883,1.50703,1.50703,-0.00587369,1.40456,7.18791
90.90119723,1.79318,1.79318,0.268822,1.68873,7.18711
90.90216628,1.86794,1.86794,0.340975,1.76297,7.18537
90.90292449,1.92644,1.92644,0.397532,1.82122,7.18401
90.90384462,1.99751,1.99751,0.466278,1.89191,7.18133
90.90512794,2.09663,2.09663,0.562356,1.9905,7.17758
90.90684016,2.22888,2.22888,0.690891,2.12204,7.17067
90.90974839,2.45306,2.45306,0.910051,2.34529,7.15514
90.91556485,2.89863,2.89863,1.35104,2.78971,7.10988
90.91826285,3.10363,3.10363,1.55663,2.99451,7.0825
90.92169109,3.362,3.362,1.81853,3.25293,7.04194
90.92253156,3.42482,3.42482,1.88274,3.31582,7.03079
90.92351044,3.49798,3.49798,1.95759,3.38907,7.01781
90.92494345,3.60441,3.60441,2.06716,3.4957,6.99754
90.92721976,3.77211,3.77211,2.24121,3.66384,6.96308
90.93171041,4.09717,4.09717,2.58348,3.9902,6.88701
90.9406917,4.71736,4.71736,3.25843,4.61432,6.70338
90.94750368,5.15496,5.15496,3.75661,5.05571,6.53668
90.95097906,5.36567,5.36567,4.00476,5.2685,6.44268
90.9527708,5.47067,5.47067,4.13079,5.37463,6.39189
90.95444893,5.56667,5.56667,4.24747,5.4717,6.3429
90.95609701,5.65872,5.65872,4.36064,5.56485,6.29347
90.9578782,5.75575,5.75575,4.48126,5.66309,6.23858
90.96144058,5.94235,5.94235,4.71663,5.85219,6.12431
90.96628325,6.18056,6.18056,5.02244,6.09391,5.95953
90.96847242,6.2825,6.2825,5.15496,6.19747,5.88151
90.96971471,6.33828,6.33828,5.22847,6.25416,5.83595
90.97085581,6.38951,6.38951,5.29489,6.30624,5.7941
90.97202428,6.43996,6.43996,5.36181,6.35755,5.75
90.97326532,6.49355,6.49355,5.43166,6.41205,5.70316
90.97532373,6.57916,6.57916,5.54483,6.49917,5.62344
90.97783946,6.67974,6.67974,5.67868,6.6016,5.52352
90.9806005,6.78505,6.78505,5.82007,6.70893,5.41074
90.98612258,6.97981,6.97981,6.08615,6.90779,5.1756
90.99716225,7.3067,7.3067,6.55392,7.24317,4.66893
91.00802755,7.54815,7.54815,6.93303,7.49339,4.12522
91.02461131,7.76642,7.76642,7.36041,7.72578,3.21722
91.04396305,7.79847,7.79847,7.63377,7.77495,2.05306
91.07729587,7.32827,7.32827,7.56372,7.33299,-0.152051
91.0926971,6.89738,6.89738,7.30875,6.91376,-1.23338
91.10044395,6.63215,6.63215,7.12938,6.65388,-1.78542
91.10317091,6.53131,6.53131,7.05829,6.55481,-1.98023
91.10569208,6.43473,6.43473,6.98898,6.45983,-2.16034
91.11073443,6.23228,6.23228,6.84034,6.26038,-2.51868
91.1158011,6.01664,6.01664,6.67773,6.04756,-2.87507
91.12128216,5.76998,5.76998,6.48723,5.80375,-3.25445
91.12782149,5.45812,5.45812,6.24065,5.49509,-3.69535
91.14090015,4.78055,4.78055,5.68767,4.82371,-4.51857
91.14941462,4.30283,4.30283,5.28658,4.35011,-5.00078
91.15342492,4.06826,4.06826,5.08682,4.11754,-5.21145
91.15713983,3.84576,3.84576,4.89584,3.89697,-5.3966
91.16183883,3.5575,3.5575,4.64638,3.61125,-5.61707
91.16621707,3.28231,3.28231,4.40626,3.33854,-5.80898
91.17497355,2.71408,2.71408,3.90495,2.77558,-6.15513
91.18484731,2.04701,2.04701,3.30801,2.11486,-6.48681
91.20078351,0.919564,0.919564,2.28138,0.998305,-6.89455
91.22190425,-0.650082,-0.650082,0.819941,-0.556545,-7.19871
91.23313433,-1.51028,-1.51028,0.00266589,-1.41012,-7.25291
91.23824413,-1.90532,-1.90532,-0.377223,-1.80273,-7.25327
91.23986019,-2.03055,-2.03055,-0.49832,-1.92732,-7.24975
91.24091888,-2.11259,-2.11259,-0.577874,-2.00895,-7.24745
91.24194635,-2.19221,-2.19221,-0.655238,-2.08817,-7.24355
91.24400129,-2.3513,-2.3513,-0.810394,-2.2466,-7.23573
91.24811117,-2.66846,-2.66846,-1.12226,-2.5628,-7.21182
91.25164805,-2.93977,-2.93977,-1.39208,-2.83365,-7.18374
91.25417567,-3.13242,-3.13242,-1.58575,-3.02592,-7.15944
91.25558401,-3.23913,-3.23913,-1.69367,-3.13304,-7.14415
91.25621972,-3.2873,-3.2873,-1.74238,-3.18108,-7.13724
91.25723156,-3.3635,-3.3635,-1.8201,-3.25755,-7.12515
91.25817216,-3.43433,-3.43433,-1.89235,-3.32822,-7.11391
