"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-7.74723,-7.74723,-7.05266,-7.48851,-2.59523
90.00140556,-7.75683,-7.75683,-7.08616,-7.50388,-2.50944
90.00421668,-7.77304,-7.77304,-7.15015,-7.53166,-2.3366
90.00983891,-7.79123,-7.79123,-7.26383,-7.57307,-1.9851
90.01995217,-7.77538,-7.77538,-7.41906,-7.59925,-1.33414
90.04017869,-7.5619,-7.5619,-7.54259,-7.47005,0.0281071
90.05386146,-7.2849,-7.2849,-7.48808,-7.24972,0.985355
90.0596386,-7.13671,-7.13671,-7.43224,-7.12531,1.39581
90.06164047,-7.08112,-7.08112,-7.4084,-7.07794,1.53875
90.06330191,-7.03337,-7.03337,-7.38689,-7.03698,1.65738
90.0649412,-6.98483,-6.98483,-7.36415,-6.99514,1.77443
90.06821979,-6.88359,-6.88359,-7.31419,-6.90725,2.00853
90.07477697,-6.66477,-6.66477,-7.19661,-6.71496,2.47429
90.08789133,-6.1646,-6.1646,-6.89307,-6.2671,3.38114
90.11412005,-4.93768,-4.93767,-6.03204,-5.14245,4.95394
90.12339574,-4.43553,-4.43553,-5.64993,-4.67578,5.41826
90.13179075,-3.95319,-3.95318,-5.27159,-4.22522,5.79134
90.14184018,-3.34411,-3.34411,-4.78081,-3.65368,6.1778
90.1520036,-2.69607,-2.69607,-4.24516,-3.04287,6.50304
90.16695618,-1.69149,-1.69149,-3.39193,-2.09123,6.86445
90.18307614,-0.550844,-0.550842,-2.39475,-1.00448,7.10138
90.19951894,0.66093,0.660932,-1.30663,0.156837,7.18412
90.20893086,1.37089,1.37089,-0.655454,0.841337,7.16076
90.21349466,1.71797,1.71797,-0.333049,1.17749,7.13122
90.21506877,1.83798,1.83798,-0.22091,1.29409,7.11765
90.21654554,1.95057,1.95057,-0.115304,1.40347,7.10492
90.21757674,2.02918,2.02919,-0.0413427,1.48008,7.0946
90.21847255,2.09748,2.09748,0.0230507,1.54663,7.08564
90.21943568,2.17091,2.17091,0.0924261,1.61818,7.07497
90.22046346,2.24912,2.24912,0.166619,1.69467,7.06358
90.22156356,2.33283,2.33283,0.246211,1.77654,7.05009
90.22278379,2.42568,2.42568,0.334704,1.86736,7.03513
90.22465151,2.5674,2.5674,0.470567,2.00636,7.0101
90.22803048,2.82267,2.82268,0.717549,2.25764,6.96006
90.23478844,3.32662,3.32662,1.21533,2.75719,6.84181
90.23762537,3.53497,3.53498,1.42559,2.96519,6.78502
90.24078671,3.76435,3.76435,1.66057,3.19527,6.71683
90.24170564,3.83022,3.83022,1.72887,3.26163,6.69579
90.24278037,3.90726,3.90726,1.80884,3.33924,6.67119
90.24439079,4.02156,4.02156,1.92867,3.45475,6.63285
90.24704276,4.20732,4.20732,2.12601,3.64321,6.56687
90.25234669,4.56819,4.56819,2.51913,4.01221,6.42447
90.26295455,5.23547,5.23547,3.29028,4.70677,6.09917
90.26325583,5.2532,5.25321,3.31219,4.72553,6.08901
90.26434902,5.31756,5.31756,3.39027,4.79357,6.05214
90.26509861,5.36096,5.36096,3.4438,4.8396,6.02686
90.26548157,5.38313,5.38313,3.47093,4.86312,6.01359
90.26703831,5.47153,5.47153,3.58118,4.95724,5.95965
90.26886232,5.57259,5.57259,3.70913,5.06522,5.89465
90.26942716,5.60317,5.60317,3.74837,5.09796,5.87453
90.27021455,5.64579,5.64579,3.80306,5.1436,5.84571
90.27058489,5.66547,5.66548,3.82879,5.1647,5.83215
90.27132556,5.70485,5.70485,3.87974,5.2069,5.80504
90.27207206,5.74371,5.74371,3.93109,5.24858,5.77712
90.27303481,5.79384,5.79384,3.99679,5.30234,5.74111
90.27496032,5.89142,5.89142,4.12685,5.40711,5.66754
90.27814754,6.04687,6.04687,4.33788,5.5743,5.54221
90.28452199,6.3357,6.3357,4.74132,5.88633,5.27859
90.28909808,6.52526,6.52526,5.01369,6.09244,5.07892
90.29108295,6.60292,6.60292,5.12703,6.17728,4.98965
90.292996,6.67518,6.67518,5.23338,6.25648,4.90211
90.29466477,6.73617,6.73617,5.32383,6.32352,4.82457
90.29643702,6.79885,6.79885,5.41754,6.39266,4.74103
90.29998152,6.91782,6.91782,5.59793,6.52461,4.57035
90.30587141,7.09676,7.09676,5.87767,6.72532,4.27637
90.31607622,7.35198,7.35198,6.30576,7.01889,3.73798
90.32690675,7.54776,7.54776,6.68404,7.25625,3.12889
90.34123693,7.69032,7.69032,7.06746,7.45498,2.26923
90.36247568,7.66586,7.66586,7.397,7.51522,0.900224
90.38468475,7.3536,7.3536,7.44663,7.29188,-0.625278
90.39410164,7.13572,7.13572,7.37874,7.11155,-1.29374
90.40336835,6.87414,6.87414,7.26201,6.88662,-1.95618
90.40589223,6.79493,6.79493,7.22175,6.81734,-2.13661
90.40837885,6.71365,6.71365,7.17861,6.74582,-2.31437
90.41335209,6.54171,6.5417,7.08217,6.59329,-2.66761
90.42329856,6.16155,6.16155,6.84971,6.25159,-3.35868
90.44319151,5.26649,5.26649,6.235,5.4322,-4.61696
90.45086537,4.8753,4.8753,5.94625,5.06981,-5.04521
90.45534241,4.63589,4.63588,5.76504,4.84713,-5.27761
90.45893692,4.43798,4.43798,5.61299,4.66262,-5.45426
90.46269696,4.22576,4.22576,5.44787,4.46436,-5.62949
90.46944116,3.83238,3.83238,5.13669,4.09591,-5.91994
90.48053414,3.15222,3.15222,4.58502,3.45624,-6.33345
90.49255148,2.37288,2.37288,3.93507,2.71976,-6.69378
90.50840271,1.28636,1.28636,3.0027,1.68757,-7.03327
90.53170402,-0.4048,-0.404801,1.50116,0.0696887,-7.26049
90.54417716,-1.34461,-1.34461,0.641567,-0.83665,-7.25222
90.54991684,-1.78229,-1.78229,0.234506,-1.26122,-7.21859
90.5519443,-1.93737,-1.93737,0.0891302,-1.41225,-7.20228
90.5533861,-2.04766,-2.04766,-0.0147084,-1.51965,-7.189
90.55411302,-2.10326,-2.10326,-0.0671985,-1.57396,-7.1823
90.55518509,-2.18527,-2.18527,-0.144771,-1.65405,-7.17117
90.55621808,-2.26428,-2.26429,-0.219691,-1.73122,-7.16044
90.55744784,-2.35814,-2.35814,-0.309101,-1.82319,-7.14601
90.55907508,-2.48233,-2.48233,-0.427761,-1.94488,-7.12692
90.5618957,-2.69682,-2.69682,-0.634346,-2.15583,-7.08951
90.56753695,-3.122,-3.122,-1.05054,-2.57624,-7.00198
90.57132251,-3.4036,-3.4036,-1.33176,-2.85652,-6.93386
90.57485459,-3.66294,-3.66294,-1.59521,-3.11604,-6.86357
90.57666278,-3.79423,-3.79423,-1.73043,-3.24797,-6.82511
90.57791846,-3.88471,-3.88471,-1.82433,-3.33885,-6.7969
90.57952318,-3.99945,-3.99945,-1.94433,-3.455,-6.76086
90.58225273,-4.19209,-4.19209,-2.14844,-3.65028,-6.69572
90.58771182,-4.56624,-4.56624,-2.55517,-4.0325,-6.55439
90.59863001,-5.25701,-5.25701,-3.35247,-4.75069,-6.22831
90.59885205,-5.27015,-5.27015,-3.36868,-4.76456,-6.22168
90.60006135,-5.34168,-5.34168,-3.45547,-4.84008,-6.18178
90.60040326,-5.3615,-5.3615,-3.48,-4.86108,-6.1705
90.60081492,-5.38535,-5.38535,-3.50931,-4.88637,-6.15692
90.60163823,-5.43307,-5.43307,-3.56793,-4.93694,-6.1291
90.60238733,-5.47543,-5.47543,-3.62126,-4.982,-6.10378
90.60352537,-5.53977,-5.53978,-3.70138,-5.05046,-6.06429
90.60480143,-5.61011,-5.61011,-3.79121,-5.12548,-6.02
90.6051888,-5.63146,-5.63146,-3.81819,-5.14826,-6.00622
90.60623525,-5.68802,-5.68802,-3.89106,-5.20866,-5.969
90.60792919,-5.77779,-5.77779,-4.00787,-5.30457,-5.90756
90.60965371,-5.86693,-5.86693,-4.12542,-5.39991,-5.84371
90.61283236,-6.02545,-6.02545,-4.33805,-5.5697,-5.7226
90.61903039,-6.31357,-6.31358,-4.73523,-5.87952,-5.47405
90.62355329,-6.50668,-6.50668,-5.00861,-6.08837,-5.28253
90.62554115,-6.58704,-6.58704,-5.12405,-6.17565,-5.19569
90.62709861,-6.64809,-6.6481,-5.21237,-6.24213,-5.12609
90.62853432,-6.70291,-6.70291,-5.29212,-6.30195,-5.06193
90.6300271,-6.75841,-6.75841,-5.37334,-6.36268,-4.9939
90.63301265,-6.86489,-6.86489,-5.53076,-6.47965,-4.85522
90.63898375,-7.05987,-7.05987,-5.8262,-6.6958,-4.56776
90.6489566,-7.33263,-7.33263,-6.26464,-7.00453,-4.05895
90.65983846,-7.55565,-7.55565,-6.6673,-7.26766,-3.46537
90.67382955,-7.73008,-7.73008,-7.07221,-7.49483,-2.64876
90.69069375,-7.7768,-7.7768,-7.39545,-7.60636,-1.59466
90.72211014,-7.4152,-7.4152,-7.53666,-7.36613,0.519612
90.73374314,-7.13847,-7.13847,-7.44046,-7.13409,1.33918
90.74542943,-6.78759,-6.78759,-7.26653,-6.82764,2.16662
90.74856649,-6.68124,-6.68124,-7.20685,-6.73313,2.38836
90.75167646,-6.57092,-6.57092,-7.14242,-6.63449,2.60724
90.75789639,-6.33618,-6.33618,-6.99816,-6.42297,3.03973
90.77033624,-5.81286,-5.81286,-6.65025,-5.94552,3.86891
90.78003643,-5.35727,-5.35727,-6.32591,-5.52521,4.46861
