"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-6.19419,-6.19419,-5.10415,-6.10552,-6.06596
90.00126797,-6.25511,-6.25511,-5.18226,-6.16713,-6.02128
90.00161285,-6.27168,-6.27168,-5.20315,-6.18389,-6.00913
90.00191995,-6.28615,-6.28615,-5.22175,-6.19853,-5.99831
90.00260389,-6.31838,-6.31838,-5.26318,-6.23113,-5.97371
90.00333608,-6.35225,-6.35225,-5.30669,-6.2654,-5.94737
90.00404442,-6.38501,-6.38501,-5.34878,-6.29855,-5.92141
90.00497544,-6.42666,-6.42666,-5.40319,-6.34071,-5.88729
90.00683749,-6.50996,-6.50996,-5.5099,-6.42503,-5.81762
90.00985028,-6.63854,-6.63854,-5.67678,-6.55529,-5.70168
90.01587586,-6.87668,-6.87668,-5.99001,-6.7969,-5.45821
90.02515609,-7.19452,-7.19452,-6.42131,-7.12046,-5.0541
90.03511296,-7.47045,-7.47045,-6.81761,-7.40309,-4.58312
90.0476529,-7.72364,-7.72364,-7.22162,-7.66554,-3.93871
90.06361759,-7.89705,-7.89705,-7.5859,-7.8519,-3.04351
90.09229136,-7.80849,-7.80849,-7.83262,-7.78832,-1.26291
90.1233558,-7.17282,-7.17282,-7.54053,-7.17892,0.84608
90.13443321,-6.81653,-6.81653,-7.30063,-6.8313,1.62811
90.13834092,-6.67524,-6.67524,-7.1995,-6.69293,1.90584
90.14164019,-6.54991,-6.54991,-7.10767,-6.56998,2.14032
90.14505029,-6.41474,-6.41474,-7.00669,-6.43719,2.3818
90.1518705,-6.12781,-6.12781,-6.78678,-6.15469,2.8597
90.15691699,-5.90162,-5.90162,-6.60896,-5.93149,3.2072
90.16427802,-5.55136,-5.55136,-6.3273,-5.58526,3.70025
90.16956337,-5.28547,-5.28547,-6.10917,-5.32205,4.04152
90.17552721,-4.97159,-4.97159,-5.84764,-5.01109,4.41037
90.1806145,-4.69265,-4.69265,-5.61203,-4.73462,4.7089
90.18482485,-4.45427,-4.45427,-5.40856,-4.4983,4.9431
90.18661704,-4.35078,-4.35078,-5.31914,-4.3957,5.03902
90.18799724,-4.26996,-4.26996,-5.25028,-4.31557,5.11127
90.18926385,-4.19579,-4.19579,-5.18555,-4.24204,5.17632
90.19071553,-4.10972,-4.10972,-5.11136,-4.15671,5.2494
90.19318855,-3.96139,-3.96139,-4.98239,-4.00967,5.37035
90.1981346,-3.6585,-3.6585,-4.71725,-3.70947,5.59928
90.20802668,-3.02929,-3.02929,-4.15962,-3.08599,6.00764
90.2183573,-2.3414,-2.3414,-3.54073,-2.40455,6.36618
90.23266302,-1.34344,-1.34344,-2.62824,-1.41609,6.7518
90.24717861,-0.285369,-0.285369,-1.64444,-0.368083,7.01447
90.26193449,0.826909,0.826909,-0.593858,0.733982,7.15178
90.27028307,1.46845,1.46845,0.0201054,1.37035,7.17253
90.27433244,1.78196,1.78196,0.322396,1.68147,7.16798
90.27571325,1.88887,1.88887,0.426095,1.78792,7.16399
90.27639507,1.94166,1.94166,0.477452,1.84049,7.16202
90.27730713,2.01238,2.01238,0.546152,1.9108,7.1583
90.27850681,2.1054,2.1054,0.636748,2.00329,7.15341
90.28012595,2.23094,2.23094,0.759318,2.12812,7.1451
90.28279838,2.43778,2.43778,0.962328,2.33407,7.12815
90.28814324,2.84928,2.84928,1.37058,2.74436,7.08233
90.29083035,3.05468,3.05468,1.57677,2.94946,7.05333
90.29419184,3.30969,3.30969,1.83539,3.20438,7.01148
90.29509306,3.37753,3.37753,1.90472,3.27227,6.999
90.2960046,3.44615,3.44615,1.97492,3.34094,6.98637
90.29727825,3.5415,3.5415,2.07301,3.43607,6.96701
90.29918782,3.68353,3.68353,2.22006,3.57869,6.93799
90.30272732,3.94343,3.94343,2.4921,3.83934,6.87788
90.30980632,4.44679,4.44679,3.03154,4.34504,6.73802
90.31862676,5.03415,5.03415,3.68731,4.93631,6.52803
90.32295389,5.30345,5.30345,4.00002,5.20772,6.41078
90.32516586,5.43573,5.43573,4.15705,5.34112,6.34727
90.3264384,5.51007,5.51007,4.246,5.41612,6.30929
90.32764696,5.57944,5.57944,4.33048,5.48613,6.27322
90.32918489,5.66598,5.66598,4.43635,5.57351,6.22584
90.33124169,5.77873,5.77873,4.57579,5.68741,6.16072
90.33535531,5.99426,5.99426,4.84646,5.90534,6.02456
90.33850739,6.15064,6.15064,5.04578,6.0636,5.91496
90.34055781,6.24837,6.24837,5.17138,6.16256,5.84079
90.34150937,6.2924,6.2924,5.22825,6.20716,5.80637
90.34225182,6.32676,6.32676,5.27261,6.24197,5.77877
