"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-8.75294,-8.75294,-8.74604,-8.35182,3.1119
90.00119599,-8.72267,-8.72267,-8.73108,-8.33012,3.19407
90.00358797,-8.65997,-8.65997,-8.69898,-8.28468,3.35741
90.00837193,-8.52433,-8.52433,-8.62442,-8.18406,3.67858
90.01793985,-8.21181,-8.21181,-8.43334,-7.9435,4.29125
90.02033183,-8.12347,-8.12347,-8.37515,-7.87361,4.43615
90.02511579,-7.9389,-7.9389,-8.25064,-7.72622,4.7173
90.02875446,-7.79051,-7.79051,-8.14767,-7.6064,4.9216
90.03070544,-7.70745,-7.70745,-8.08883,-7.53878,5.02738
90.03173985,-7.66341,-7.66341,-8.05763,-7.50292,5.08196
90.03271893,-7.62035,-7.62035,-8.02668,-7.46766,5.13363
90.03387456,-7.56953,-7.56953,-7.99015,-7.42604,5.19322
90.03512311,-7.51347,-7.51347,-7.94948,-7.37995,5.25648
90.03746011,-7.40629,-7.40629,-7.87099,-7.29149,5.37179
90.0421341,-7.18325,-7.18325,-7.7049,-7.10611,5.59075
90.0514821,-6.70372,-6.70372,-7.33733,-6.70252,5.9841
90.06212556,-6.10614,-6.10614,-6.86352,-6.19188,6.3624
90.07562427,-5.27512,-5.27512,-6.18282,-5.47082,6.7391
90.08994625,-4.31229,-4.31229,-5.36995,-4.62277,7.01573
90.11420087,-2.52268,-2.52268,-3.80708,-3.01772,7.20488
90.13346584,-0.983878,-0.983878,-2.42037,-1.61252,7.1134
90.14633625,0.0906148,0.0906148,-1.43205,-0.619198,6.93742
90.15522973,0.850182,0.850182,-0.72411,0.0884238,6.76399
90.16309299,1.53047,1.53047,-0.0835497,0.725767,6.57663
90.16908495,2.05277,2.05277,0.412639,1.21748,6.41304
90.1719904,2.30703,2.30703,0.655521,1.45766,6.32678
90.1728,2.37788,2.37788,0.723489,1.52459,6.30274
90.17340758,2.43105,2.43105,0.774497,1.57501,6.28393
90.17431578,2.51053,2.51053,0.850969,1.65039,6.25582
90.1753539,2.60138,2.60138,0.938379,1.73654,6.22277
90.17651549,2.70303,2.70303,1.03643,1.83319,6.18579
90.17830461,2.85941,2.85941,1.1878,1.98206,6.12716
90.18029448,3.03334,3.03334,1.35662,2.14807,6.06019
90.18289083,3.2595,3.2595,1.57755,2.36468,5.97007
90.18346961,3.30992,3.30992,1.62694,2.41296,5.94935
90.18504999,3.44701,3.44701,1.7618,2.54481,5.89278
90.18592953,3.5233,3.5233,1.83701,2.61819,5.8605
90.18692493,3.60919,3.60919,1.92213,2.70123,5.82396
90.18855995,3.75028,3.75028,2.06228,2.83728,5.76266
90.19131702,3.98648,3.98648,2.29863,3.06669,5.65663
90.19315291,4.14264,4.14264,2.45629,3.21849,5.58418
90.1952101,4.31641,4.31641,2.63295,3.38858,5.50127
90.19665257,4.43741,4.43741,2.75682,3.507,5.44178
90.19754078,4.51135,4.51135,2.8331,3.57991,5.40515
90.19860302,4.59977,4.59977,2.92416,3.66639,5.36018
90.20038338,4.74657,4.74657,3.07678,3.81134,5.28481
90.2039441,5.03558,5.03558,3.38066,4.09734,5.12937
90.21106555,5.59084,5.59084,3.97956,4.65093,4.80326
90.21499129,5.882,5.882,4.30279,4.94359,4.61501
90.21774925,6.07928,6.07928,4.52602,5.14297,4.47923
90.21985725,6.22566,6.22566,4.69414,5.29156,4.37353
90.22154779,6.34011,6.34011,4.82714,5.40811,4.28736
90.22223993,6.38596,6.38596,4.88083,5.45488,4.25209
90.22302627,6.43804,6.43804,4.94181,5.50801,4.21146
90.22335241,6.45924,6.45924,4.96711,5.52965,4.1946
90.22375806,6.48561,6.48561,4.99809,5.55657,4.17364
90.22425544,6.51794,6.51794,5.03609,5.58957,4.1477
90.22495644,6.56256,6.56256,5.08963,5.63514,4.11114
