"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-7.74458,-7.74458,-7.25016,-7.60269,-2.84526
90.00168803,-7.75067,-7.75067,-7.28281,-7.61394,-2.74443
90.00506408,-7.75858,-7.75858,-7.3438,-7.6322,-2.54088
90.0118162,-7.75417,-7.75417,-7.44526,-7.64852,-2.12512
90.02532042,-7.66358,-7.66358,-7.56443,-7.59934,-1.26107
90.05232887,-7.17133,-7.17133,-7.47845,-7.18832,0.568232
90.06263979,-6.87777,-6.87777,-7.33434,-6.92499,1.29355
90.07270858,-6.53807,-6.53807,-7.1368,-6.61424,2.00628
90.07543891,-6.43712,-6.43712,-7.07371,-6.52103,2.19955
90.0781437,-6.33353,-6.33353,-7.0073,-6.42506,2.39057
90.08355328,-6.11597,-6.11597,-6.86311,-6.22261,2.76967
90.09437243,-5.64111,-5.64111,-6.53067,-5.77745,3.50678
90.11601073,-4.54631,-4.54631,-5.70145,-4.74052,4.81546
90.12304823,-4.15054,-4.15054,-5.38626,-4.36322,5.184
90.12986568,-3.75011,-3.75011,-5.06099,-3.98058,5.50996
90.13450442,-3.46859,-3.46859,-4.82892,-3.71111,5.7139
90.13977173,-3.14056,-3.14056,-4.55532,-3.39668,5.92807
90.15030635,-2.45998,-2.45998,-3.97788,-2.74297,6.30249
90.1623912,-1.6429,-1.6429,-3.2694,-1.95596,6.64562
90.1756645,-0.706763,-0.706763,-2.44005,-1.05156,6.91849
90.2022111,1.24744,1.24744,-0.651879,0.849415,7.14907
90.21027858,1.85611,1.85611,-0.0778472,1.44654,7.13721
90.2134441,2.0958,2.0958,0.150817,1.68268,7.12229
90.21459651,2.18306,2.18306,0.234498,1.76865,7.11509
90.21568635,2.26558,2.26558,0.313828,1.85007,7.10828
90.21721151,2.38068,2.38068,0.425138,1.96402,7.09714
90.22026184,2.61088,2.61088,0.648712,2.19193,7.07098
90.22636249,3.06649,3.06649,1.09916,2.64553,7.00334
90.22971652,3.31381,3.31381,1.34842,2.89309,6.95752
90.23324746,3.57105,3.57105,1.61172,3.15164,6.90276
90.23505296,3.70115,3.70115,1.74665,3.28287,6.87218
90.23787116,3.90189,3.90189,1.95727,3.48596,6.82103
90.24053102,4.0884,4.0884,2.15596,3.67539,6.76895
90.24585075,4.45117,4.45117,2.55184,4.0461,6.65388
90.2564902,5.12395,5.12395,3.32827,4.74298,6.38128
90.26048555,5.35631,5.35631,3.61271,4.98698,6.26453
90.26310798,5.50227,5.50227,3.79659,5.14103,6.18371
90.26440529,5.57251,5.57251,3.88627,5.21531,6.14215
90.26561999,5.63708,5.63708,3.97024,5.28368,6.10323
90.2672633,5.72261,5.72261,4.08231,5.37432,6.04899
90.26898253,5.80987,5.80987,4.19813,5.4669,5.9909
90.27242099,5.97778,5.97778,4.42494,5.64534,5.87068
90.27929792,6.28787,6.28787,4.85589,5.97639,5.6144
90.28223043,6.40985,6.40985,5.02963,6.10727,5.4988
90.28382524,6.47365,6.47365,5.12141,6.17592,5.4339
90.28516816,6.5254,6.5254,5.19715,6.23176,5.37926
90.28646979,6.57556,6.57556,5.2692,6.28588,5.32477
90.28780503,6.62519,6.62519,5.34173,6.33958,5.26886
90.29047552,6.7208,6.7208,5.48268,6.44335,5.15411
90.2958165,6.89752,6.89752,5.74878,6.63647,4.91596
90.30649846,7.19364,7.19364,6.22086,6.96573,4.40654
90.31651795,7.40275,7.40275,6.59338,7.20634,3.8907
90.33168258,7.59537,7.59537,7.03206,7.44723,3.04628
90.3461432,7.64329,7.64329,7.31299,7.54153,2.17683
90.37506442,7.36309,7.36309,7.48783,7.35321,0.289808
90.39158686,6.98817,6.98817,7.36338,7.02948,-0.858361
90.39915103,6.76651,6.76651,7.25351,6.8308,-1.39603
90.40145024,6.69306,6.69306,7.21365,6.76427,-1.56062
90.4028696,6.64585,6.64585,7.18703,6.72131,-1.66223
90.40423329,6.6005,6.6005,7.16145,6.68003,-1.75996
90.40696065,6.50599,6.50599,7.10619,6.59363,-1.95541
90.41241538,6.30597,6.30597,6.98366,6.40966,-2.34505
90.42332483,5.86356,5.86356,6.69193,5.99871,-3.11095
90.44514374,4.82308,4.82308,5.93357,5.01911,-4.51016
90.45373231,4.35954,4.35954,5.57363,4.57892,-4.99474
90.45845464,4.09246,4.09246,5.36162,4.32458,-5.24163
90.4629843,3.82864,3.82864,5.14928,4.07291,-5.46416
90.4681332,3.52013,3.52013,4.89764,3.77814,-5.70002
90.47309905,3.21427,3.21427,4.64496,3.48546,-5.91063
90.48303074,2.57988,2.57988,4.11173,2.8771,-6.28389
90.49297761,1.91661,1.91661,3.54265,2.23933,-6.59515
90.5109348,0.659476,0.659476,2.43653,1.02612,-7.00288
90.53277763,-0.948309,-0.948309,0.975944,-0.534235,-7.2388
90.54134709,-1.59637,-1.59637,0.37224,-1.16731,-7.25473
90.54669244,-2.00321,-2.00321,-0.011854,-1.56635,-7.24323
90.54832048,-2.12712,-2.12712,-0.129905,-1.68844,-7.23616
90.54903263,-2.18132,-2.18132,-0.181689,-1.74185,-7.23307
90.54989378,-2.24686,-2.24686,-0.244418,-1.80643,-7.22817
90.55147857,-2.36748,-2.36748,-0.36016,-1.92539,-7.21916
90.55427202,-2.57952,-2.57952,-0.565073,-2.13508,-7.1992
90.55982211,-2.99766,-2.99766,-0.975235,-2.55041,-7.14681
90.56408397,-3.31481,-3.31481,-1.29255,-2.86721,-7.0952
90.56746563,-3.56338,-3.56338,-1.54549,-3.11667,-7.04728
90.56919108,-3.68895,-3.68895,-1.67492,-3.24311,-7.02048
90.57139016,-3.84753,-3.84753,-1.83987,-3.40321,-6.98404
90.57296865,-3.96024,-3.96024,-1.95832,-3.5173,-6.95633
90.57572701,-4.15468,-4.15468,-2.1653,-3.71477,-6.90477
90.58124371,-4.5324,-4.5324,-2.57762,-4.10087,-6.78996
90.59227712,-5.22973,-5.22973,-3.38552,-4.82417,-6.51476
90.59586543,-5.43823,-5.43823,-3.6419,-5.04338,-6.41236
90.59811032,-5.56374,-5.56374,-3.80019,-5.17589,-6.34514
90.59934752,-5.63069,-5.63069,-3.88632,-5.2473,-6.30673
90.60051009,-5.6936,-5.6936,-3.96726,-5.31331,-6.27063
90.60203118,-5.7736,-5.7736,-4.07184,-5.39807,-6.22201
90.60415567,-5.88241,-5.88241,-4.21601,-5.51348,-6.15231
90.60840467,-6.09001,-6.09001,-4.49689,-5.73419,-6.00672
90.61690266,-6.46653,-6.46653,-5.02249,-6.13681,-5.69152
90.61965532,-6.57759,-6.57759,-5.18171,-6.25632,-5.58266
90.62232361,-6.68026,-6.68026,-5.33057,-6.3672,-5.47404
90.62448548,-6.75988,-6.75988,-5.44721,-6.4535,-5.38385
90.62683535,-6.84284,-6.84284,-5.57002,-6.54373,-5.28363
90.63153509,-6.99761,-6.99761,-5.80362,-6.71313,-5.0765
90.64041117,-7.24979,-7.24979,-6.20288,-6.99325,-4.66189
90.65261194,-7.51184,-7.51184,-6.66547,-7.29432,-4.04492
90.66553315,-7.68434,-7.68434,-7.04946,-7.50877,-3.33663
90.68341416,-7.74972,-7.74972,-7.40563,-7.63281,-2.27443
90.71121938,-7.47225,-7.47225,-7.56988,-7.44597,-0.4714
90.72894439,-7.06646,-7.06646,-7.43558,-7.09664,0.753292
90.73721477,-6.81875,-6.81875,-7.31113,-6.87474,1.33896
90.74017948,-6.72117,-6.72117,-7.25714,-6.78632,1.55051
90.74135517,-6.68089,-6.68089,-7.23403,-6.74965,1.63441
90.74245982,-6.64304,-6.64304,-7.21232,-6.7152,1.71335
90.74466913,-6.56489,-6.56489,-7.16621,-6.64379,1.87123
90.74908774,-6.40144,-6.40144,-7.06619,-6.49373,2.18635
90.75792497,-6.04685,-6.04685,-6.83569,-6.16549,2.80979
90.77559943,-5.2342,-5.2342,-6.25889,-5.40398,3.98976
90.7882668,-4.57245,-4.57245,-5.75527,-4.77786,4.74805
90.79405148,-4.2494,-4.2494,-5.50124,-4.47084,5.06322
90.7973117,-4.06186,-4.06186,-5.35168,-4.29229,5.231
90.80037473,-3.88223,-3.88223,-5.20711,-4.12108,5.38177
90.80326917,-3.70954,-3.70954,-5.06698,-3.95632,5.51814
