"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,6.60116,6.60068,2.05112,4.18428,3.47341
90.00153241,6.55428,6.55379,2.15944,4.27321,3.38571
90.00357562,6.49008,6.48957,2.30356,4.38981,3.26771
90.00766204,6.35559,6.35506,2.59032,4.61529,3.02789
90.01074886,6.24866,6.2481,2.80524,4.77827,2.84343
90.01215107,6.19815,6.19758,2.90212,4.85013,2.75844
90.01346081,6.15096,6.15038,2.99261,4.91598,2.67906
90.01479761,6.10109,6.1005,3.08412,4.98193,2.59727
90.01620321,6.04864,6.04805,3.18035,5.04991,2.51073
90.01866081,5.95399,5.95337,3.34684,5.16547,2.35813
90.02357602,5.75645,5.7558,3.67374,5.38441,2.04813
90.03340643,5.32966,5.32894,4.29555,5.77581,1.41036
90.04369926,4.83958,4.8388,4.88688,6.12146,0.719581
90.04762057,4.64159,4.64079,5.09428,6.23616,0.45061
90.051399,4.44518,4.44435,5.28402,6.33798,0.188698
90.05438949,4.28592,4.28507,5.42712,6.41256,-0.0203734
90.05773853,4.10368,4.10282,5.58007,6.48982,-0.256238
90.0644366,3.72743,3.72653,5.86356,6.62463,-0.732762
90.06864492,3.48324,3.48231,6.0267,6.69595,-1.035
90.07204386,3.28177,3.28083,6.1502,6.74606,-1.2805
90.0729142,3.22943,3.22849,6.18034,6.75753,-1.34336
90.07403366,3.16211,3.16116,6.2191,6.77229,-1.42452
90.07655943,3.00845,3.00749,6.303,6.80231,-1.60762
90.07890225,2.86419,2.86322,6.37727,6.82689,-1.77756
90.08331307,2.58826,2.58727,6.5079,6.86469,-2.09749
90.0921347,2.02039,2.01936,6.73342,6.90747,-2.73189
90.10977796,0.828893,0.827801,7.04387,6.86518,-3.94019
90.12236157,-0.0600571,-0.0611851,7.15271,6.73372,-4.72062
90.12900658,-0.540803,-0.541946,7.17293,6.63112,-5.09612
90.13244807,-0.792444,-0.793595,7.17341,6.56916,-5.27916
90.13563601,-1.02689,-1.02804,7.16784,6.50649,-5.44126
90.13843471,-1.23358,-1.23474,7.15824,6.44736,-5.57763
90.14028636,-1.37072,-1.37188,7.14947,6.40613,-5.66482
90.14255108,-1.53881,-1.53997,7.13616,6.35347,-5.76825
90.14381604,-1.63269,-1.63386,7.12691,6.32249,-5.82451
90.14548493,-1.7567,-1.75787,7.1147,6.28161,-5.89708
90.14834831,-1.96947,-1.97064,7.0892,6.20757,-6.0173
90.15407508,-2.39387,-2.39502,7.02492,6.04811,-6.2417
90.16552863,-3.22787,-3.229,6.84441,5.68525,-6.62777
90.18109258,-4.29303,-4.29406,6.49253,5.10343,-7.02119
90.19123243,-4.92371,-4.92464,6.19967,4.67222,-7.19744
90.19678501,-5.24199,-5.24285,6.01874,4.41945,-7.26753
90.19965803,-5.39823,-5.39907,5.91955,4.28421,-7.29651
