"TIME","SIN1","SIN2","SIN3","SIN4","SIN5"
90,-7.62744,-7.62742,-5.97586,-6.63311,-3.53443
90.00114897,-7.63284,-7.63273,-6.02125,-6.6619,-3.46985
90.00344691,-7.6417,-7.64141,-6.11001,-6.71755,-3.33971
90.0080428,-7.65016,-7.6495,-6.27791,-6.81969,-3.0748
90.01716908,-7.62964,-7.62828,-6.57247,-6.98535,-2.53092
90.03542163,-7.44367,-7.44096,-7.00835,-7.17023,-1.3799
90.06011149,-6.90202,-6.89763,-7.28152,-7.12051,0.283586
90.07239104,-6.51418,-6.50901,-7.28487,-6.97123,1.14537
90.07847331,-6.2942,-6.28867,-7.25461,-6.86753,1.57753
90.08061592,-6.21243,-6.20677,-7.23897,-6.82638,1.73029
90.08260501,-6.13459,-6.12882,-7.22218,-6.78608,1.8721
90.08658321,-5.97348,-5.96748,-7.18208,-6.6995,2.15531
90.0945396,-5.63024,-5.6238,-7.07631,-6.50297,2.7166
90.11045238,-4.865,-4.85775,-6.766,-6.02075,3.7903
90.12269264,-4.20962,-4.20182,-6.44103,-5.57279,4.54468
90.12941077,-3.82671,-3.81863,-6.23183,-5.29969,4.92351
90.13270767,-3.63307,-3.62486,-6.12138,-5.15885,5.09872
90.13551606,-3.4653,-3.45697,-6.02336,-5.03546,5.24188
90.13777684,-3.3284,-3.31999,-5.94187,-4.93389,5.35299
90.14017563,-3.18141,-3.17291,-5.85292,-4.82398,5.46688
90.14497321,-2.88228,-2.87361,-5.66752,-4.59774,5.68264
90.15187225,-2.44066,-2.43176,-5.38382,-4.25788,5.96574
90.16315688,-1.69174,-1.6825,-4.8784,-3.66718,6.36225
90.17536178,-0.848864,-0.839319,-4.27741,-2.98326,6.70056
90.19244076,0.376754,0.386618,-3.35065,-1.95689,7.02016
90.20307133,1.16062,1.17058,-2.72734,-1.28135,7.13007
90.20781448,1.51409,1.52404,-2.43847,-0.971619,7.15735
90.20941875,1.63408,1.64402,-2.33933,-0.865761,7.16294
90.21075794,1.73424,1.74418,-2.25604,-0.776999,7.1676
90.21208226,1.8333,1.84322,-2.17322,-0.688884,7.17056
90.21473091,2.0314,2.04131,-2.00625,-0.511684,7.17342
90.2200282,2.42641,2.43622,-1.66722,-0.153648,7.16704
90.23062278,3.20348,3.21295,-0.970579,0.574988,7.10668
90.23693044,3.65361,3.66278,-0.544931,1.01548,7.04105
90.24021837,3.8834,3.89237,-0.320065,1.24677,6.99817
90.24103662,3.93987,3.94878,-0.263797,1.30433,6.98639
90.24188602,3.99849,4.00735,-0.205265,1.36429,6.97417
90.2429449,4.07064,4.07943,-0.132129,1.43903,6.95777
